DATE,vwretd,vwretx,totval
19530227,-0.001820,-0.009109,110010868.00
19530331,-0.012862,-0.016681,108145450.00
19530430,-0.027705,-0.029126,105230314.00
19530529,0.006921,-0.000349,105398651.00
19530630,-0.016377,-0.020523,103306735.00
19530731,0.025111,0.023557,105740183.00
19530831,-0.044056,-0.051365,100318016.00
19530930,0.003010,-0.001313,100220875.00
19531030,0.047523,0.045928,104727877.00
19531130,0.028501,0.018445,106874579.00
19531231,0.000678,-0.004642,108286194.00
19540129,0.052722,0.051500,113895704.00
19540226,0.017551,0.010325,115084497.00
19540331,0.037377,0.033374,118925885.00
19540430,0.043162,0.041819,124094615.00
19540528,0.031704,0.025208,127191814.00
19540630,0.011560,0.007767,128253185.00
19540730,0.050668,0.049442,134623576.00
19540831,-0.022763,-0.029369,130583965.00
19540930,0.064633,0.061381,138686714.00
19541029,-0.016216,-0.017622,136199557.00
19541130,0.095387,0.086046,147831943.00
19541231,0.055469,0.051806,159614395.00
19550131,0.006838,0.006027,160540962.00
19550228,0.031354,0.025725,165072868.00
19550331,-0.000995,-0.004256,164337718.00
19550429,0.032352,0.031343,169583268.00
19550531,0.012033,0.006450,170483988.00
19550630,0.066108,0.063181,181601452.00
19550729,0.020246,0.019366,185125300.00
19550831,0.004197,-0.001579,185100170.00
19550930,-0.002009,-0.004543,184129796.00
19551031,-0.025752,-0.026812,178920742.00
19551130,0.071864,0.062697,190520413.00
19551230,0.016543,0.013390,197213978.00
19560131,-0.028119,-0.029475,191445948.00
19560229,0.039610,0.034439,198171160.00
19560329,0.068456,0.065641,212017665.00
19560430,0.005083,0.004136,212910643.00
19560531,-0.049309,-0.054848,201359063.00
19560629,0.037251,0.034540,208101994.00
19560731,0.050830,0.049531,218482380.00
19560831,-0.029820,-0.034965,210719647.00
19560928,-0.049608,-0.052064,200488460.00
19561031,0.007292,0.005534,201370913.00
19561130,0.004678,-0.002238,200809905.00
19561231,0.034957,0.031548,211375251.00
19570131,-0.032121,-0.033529,204530798.00
19570228,-0.018703,-0.024198,200023624.00
19570329,0.024112,0.020947,204455009.00
19570430,0.045179,0.043785,213848579.00
19570531,0.036679,0.031177,221158139.00
19570628,-0.005054,-0.007812,219540387.00
19570731,0.008938,0.007362,221698538.00
19570830,-0.050051,-0.055226,209678250.00
19570930,-0.057586,-0.060387,197008021.00
19571031,-0.041251,-0.043050,188781112.00
19571129,0.025605,0.018521,192819806.00
19571231,-0.037360,-0.041179,187753792.00
19580131,0.049595,0.048239,196376950.00
19580228,-0.014257,-0.020351,192287819.00
19580331,0.033700,0.030263,198763615.00
19580430,0.030833,0.029282,204807572.00
19580529,0.024582,0.019186,208616830.00
19580630,0.029493,0.026265,214023052.00
19580731,0.044844,0.043276,223015579.00
19580829,0.019181,0.014464,226100002.00
19580930,0.048680,0.045746,236327473.00
19581031,0.027184,0.025739,242335529.00
19581128,0.030610,0.025441,248938946.00
19581231,0.053099,0.050293,267804898.00
19590130,0.009120,0.008122,270711180.00
19590227,0.011220,0.006813,272558420.00
19590331,0.004669,0.002113,273007793.00
19590430,0.037899,0.036877,283381668.00
19590529,0.019595,0.015364,288172001.00
19590630,0.000676,-0.001865,287839200.00
19590731,0.034362,0.033327,297499307.00
19590831,-0.012446,-0.016502,292609999.00
19590930,-0.044977,-0.047403,278902307.00
19591030,0.015746,0.014613,283172761.00
19591130,0.018557,0.013272,287118978.00
19591231,0.028043,0.025271,299021494.00
19600129,-0.066244,-0.067191,278996928.00
19600229,0.014419,0.009714,282326057.00
19600331,-0.012822,-0.015488,278159487.00
19600429,-0.015271,-0.016329,273807755.00
19600531,0.034098,0.029279,282146236.00
19600630,0.022833,0.020134,288136229.00
19600729,-0.022705,-0.023635,281661173.00
19600831,0.032215,0.027065,289333471.00
19600930,-0.058673,-0.060860,272307316.00
19601031,-0.004705,-0.005921,270712394.00
19601130,0.048617,0.042646,282261348.00
19601230,0.048537,0.046230,299423865.00
19610131,0.063952,0.062787,318421966.00
19610228,0.037005,0.032834,328937437.00
19610330,0.030610,0.028347,339806367.00
19610428,0.005645,0.004884,341881853.00
19610531,0.025894,0.021619,349494365.00
19610630,-0.028499,-0.030570,338886860.00
19610731,0.029955,0.029207,350321849.00
19610831,0.026854,0.021872,358322940.00
19610929,-0.019990,-0.021266,350935373.00
19611031,0.027331,0.026092,360667013.00
19611130,0.045451,0.039879,375333555.00
19611229,0.000713,-0.000599,378064824.00
19620131,-0.036147,-0.037488,364665092.00
19620228,0.019512,0.015252,371979171.00
19620330,-0.004688,-0.006113,369437300.00
19620430,-0.063435,-0.064212,345937603.00
19620531,-0.084620,-0.089763,315141998.00
19620629,-0.082615,-0.084336,287510458.00
19620731,0.065438,0.064129,333171296.00
19620831,0.023417,0.017888,339268978.00
19620928,-0.050156,-0.051784,321975418.00
19621031,0.002184,0.000427,321862346.00
19621130,0.110137,0.102924,355051088.00
19621231,0.011865,0.010056,360094344.00
19630131,0.051848,0.050475,378456656.00
19630228,-0.021931,-0.026608,368526739.00
19630329,0.032917,0.031233,380298778.00
19630430,0.047439,0.046435,398528240.00
19630531,0.020051,0.014726,404613679.00
19630628,-0.018030,-0.019459,396986570.00
19630731,-0.001718,-0.002995,395750077.00
19630830,0.052684,0.048035,415160422.00
19630930,-0.011898,-0.013317,409718288.00
19631031,0.027708,0.026276,420372992.00
19631129,-0.005549,-0.011692,413917007.00
19631231,0.021736,0.019978,424618266.00
19640131,0.025790,0.024731,437651545.00
19640228,0.017207,0.012653,444492707.00
19640331,0.017636,0.015967,452022205.00
19640430,0.004608,0.003672,455775656.00
19640528,0.017403,0.012531,461942488.00
19640630,0.015080,0.013413,468073902.00
19640731,0.020118,0.019127,477818842.00
19640831,-0.011266,-0.015575,470305397.00
19640930,0.030480,0.028792,484458915.00
19641030,0.008869,0.007730,487972765.00
19641130,0.003089,-0.002673,484526774.00
19641231,0.003690,0.001939,490134900.00
19650129,0.038646,0.037663,508868132.00
19650226,0.006946,0.002634,510269554.00
19650331,-0.009715,-0.011428,505896929.00
19650430,0.033652,0.032737,522849217.00
19650528,-0.004350,-0.009102,519311933.00
19650630,-0.051868,-0.053591,491607566.00
19650730,0.016759,0.015871,499283225.00
19650831,0.030883,0.026133,512374462.00
19650930,0.031952,0.030357,527974011.00
19651029,0.029271,0.028212,543355237.00
19651130,0.003065,-0.002961,541240233.00
19651231,0.013545,0.011976,552707745.00
19660131,0.012122,0.011231,559237005.00
19660228,-0.008621,-0.013014,551907491.00
19660331,-0.020923,-0.022746,539522772.00
19660429,0.024837,0.023854,552100198.00
19660531,-0.052539,-0.057483,521690192.00
19660630,-0.010317,-0.012063,515842452.00
19660729,-0.012870,-0.013831,509213022.00
19660831,-0.075388,-0.080712,468282312.00
19660930,-0.006958,-0.008695,463864204.00
19661031,0.042294,0.041171,483010860.00
19661130,0.017516,0.010606,488588303.00
19661230,0.006210,0.004409,495609544.00
19670131,0.085530,0.084077,537648696.00
19670228,0.010945,0.006257,542025153.00
19670331,0.043384,0.041582,564273527.00
19670428,0.041609,0.040697,587687580.00
19670531,-0.039293,-0.044217,560452068.00
19670630,0.026903,0.025341,574776952.00
19670731,0.049189,0.048277,601298485.00
19670831,-0.006282,-0.011073,594818903.00
19670929,0.034286,0.032875,613846339.00
19671031,-0.027433,-0.028650,595433236.00
19671130,0.007902,0.002565,597142150.00
19671229,0.033699,0.032203,628636310.00
19680131,-0.036330,-0.037829,603715928.00
19680229,-0.033624,-0.038107,580364417.00
19680329,0.005116,0.003740,583403393.00
19680430,0.094148,0.092730,635671606.00
19680531,0.027041,0.022494,650689814.00
19680628,0.011527,0.010037,657705465.00
19680730,-0.022024,-0.023162,641618415.00
19680830,0.018038,0.013495,652880161.00
19680930,0.044454,0.043207,680737045.00
19681031,0.009041,0.007467,685337172.00
19681129,0.058502,0.054125,724506343.00
19681231,-0.033873,-0.035363,718331607.00
19690131,-0.006711,-0.007725,713793188.00
19690228,-0.053640,-0.057882,673820223.00
19690328,0.030506,0.029062,694302694.00
19690430,0.020526,0.019345,709934873.00
19690529,0.005040,0.000241,709933953.00
19690630,-0.067387,-0.068958,661215317.00
19690731,-0.065172,-0.066373,618817052.00
19690829,0.051490,0.046517,649955591.00
19690930,-0.022590,-0.024167,634452327.00
19691031,0.055638,0.053771,669478907.00
19691128,-0.032164,-0.036678,645502785.00
19691231,-0.019681,-0.021471,641070805.00
19700130,-0.073254,-0.074519,593462115.00
19700227,0.056706,0.051651,626774700.00
19700331,-0.004729,-0.006569,623346402.00
19700430,-0.105318,-0.106393,556437329.00
19700529,-0.064346,-0.069931,517871769.00
19700630,-0.051075,-0.053380,490902596.00
19700731,0.074169,0.072132,529619161.00
19700831,0.050036,0.044584,553710278.00
19700930,0.047536,0.045601,579881242.00
19701030,-0.018208,-0.020450,568663839.00
19701130,0.050448,0.045354,595526498.00
19701231,0.060723,0.058969,639976313.00
19710129,0.052030,0.050772,673192166.00
19710226,0.016913,0.012413,681679062.00
19710331,0.044778,0.042972,712512170.00
19710430,0.033332,0.032300,736103648.00
19710528,-0.036409,-0.040737,707722848.00
19710630,0.003119,0.001385,707866276.00
19710730,-0.040283,-0.041317,680451744.00
19710831,0.042511,0.037666,707452389.00
19710930,-0.005016,-0.006491,703806397.00
19711029,-0.040682,-0.042346,674534869.00
19711130,-0.001262,-0.005696,671737987.00
19711231,0.091257,0.089557,747603983.00
19720131,0.028383,0.027169,768832937.00
19720229,0.031349,0.027272,791278450.00
19720330,0.008722,0.007247,797664613.00
19720428,0.005505,0.004723,802944861.00
19720531,0.016375,0.011960,813025777.00
19720630,-0.020896,-0.022412,796151270.00
19720731,-0.004254,-0.005310,792629676.00
19720831,0.035966,0.031857,819934215.00
19720929,-0.007671,-0.009085,814290246.00
19721031,0.008676,0.007358,820693685.00
19721130,0.049764,0.045305,858343477.00
19721229,0.011243,0.009903,1011620770.00
19730131,-0.027453,-0.028653,983685287.00
19730228,-0.044368,-0.047915,936183717.00
19730330,-0.007860,-0.009334,928088780.00
19730430,-0.051766,-0.052962,879338711.00
19730531,-0.024511,-0.028780,853978089.00
19730629,-0.008646,-0.010422,844998136.00
19730731,0.056956,0.055510,892076976.00
19730831,-0.029657,-0.034039,861321862.00
19730928,0.053935,0.052533,907698931.00
19731031,-0.000414,-0.002140,906580908.00
19731130,-0.120708,-0.125552,792046496.00
19731231,0.011438,0.009422,798596750.00
19740131,0.004413,0.002807,800367193.00
19740228,0.002346,-0.002451,797627538.00
19740329,-0.023364,-0.025299,777537450.00
19740430,-0.045960,-0.047694,740307407.00
19740531,-0.041981,-0.047320,705435042.00
19740628,-0.022942,-0.025407,687011267.00
19740731,-0.070874,-0.072695,636791204.00
19740830,-0.087757,-0.094578,575993205.00
19740930,-0.109718,-0.112274,511241708.00
19741031,0.165584,0.162459,594249797.00
19741129,-0.041046,-0.048241,567941693.00
19741231,-0.027005,-0.030302,552899062.00
19750131,0.141600,0.139591,630264445.00
19750228,0.058412,0.051629,664344496.00
19750331,0.030190,0.027442,688114555.00
19750430,0.046497,0.044432,720520922.00
19750530,0.055140,0.049542,757536935.00
19750630,0.051473,0.048958,795648301.00
19750731,-0.060385,-0.062318,746476228.00
19750829,-0.023557,-0.028960,724702957.00
19750930,-0.038010,-0.040486,695987377.00
19751031,0.055857,0.053273,732826809.00
19751128,0.031223,0.025803,753391476.00
19751231,-0.010998,-0.013677,743848977.00
19760130,0.126011,0.124370,836428630.00
19760227,0.007313,0.002085,840721393.00
19760331,0.026799,0.024354,861395984.00
19760430,-0.010388,-0.011654,852691940.00
19760528,-0.009369,-0.015347,840977023.00
19760630,0.044487,0.042134,876966652.00
19760730,-0.006159,-0.007596,870240506.00
19760831,-0.001436,-0.007424,860268260.00
19760930,0.024484,0.022357,886476892.00
19761029,-0.020374,-0.022250,867272104.00
19761130,0.005363,-0.001438,869290286.00
19761231,0.061590,0.059300,921794014.00
19770131,-0.036335,-0.038004,886069011.00
19770228,-0.015762,-0.021787,867376488.00
19770331,-0.009247,-0.011795,859043685.00
19770429,0.004954,0.003555,863710992.00
19770531,-0.010787,-0.018014,848934876.00
19770630,0.051364,0.048708,892900968.00
19770729,-0.012806,-0.014161,880810499.00
19770831,-0.013343,-0.020282,863634713.00
19770930,0.001575,-0.001005,864223983.00
19771031,-0.039282,-0.041316,827431947.00
19771130,0.045435,0.037076,859370863.00
19771230,0.008221,0.005496,865935062.00
19780131,-0.055198,-0.057208,814197471.00
19780228,-0.009275,-0.016701,800516802.00
19780331,0.034010,0.030865,825039140.00
19780428,0.082853,0.081202,891431402.00
19780531,0.023230,0.015499,903965773.00
19780630,-0.010748,-0.013740,893182120.00
19780731,0.056741,0.054869,942055442.00
19780831,0.042349,0.035484,975456142.00
19780929,-0.006887,-0.009454,968754795.00
19781031,-0.110999,-0.113604,858648195.00
19781130,0.033785,0.025750,881303904.00
19781229,0.017708,0.014580,898739990.00
19790131,0.049489,0.046979,939372015.00
19790228,-0.026766,-0.033781,905318186.00
19790330,0.065616,0.062475,961424203.00
19790430,0.008523,0.006441,966376296.00
19790531,-0.013577,-0.021464,944698026.00
19790629,0.046851,0.043819,986571863.00
19790731,0.014993,0.012774,998615497.00
19790831,0.064729,0.057303,1056623430.00
19790928,0.001426,-0.000932,1055902980.00
19791031,-0.072662,-0.075469,975498914.00
19791130,0.063604,0.055809,1032281810.00
19791231,0.028216,0.025175,1068232590.00
19800131,0.065607,0.063303,1130708830.00
19800229,0.001015,-0.005740,1123302510.00
19800331,-0.120224,-0.123258,984015287.00
19800430,0.052287,0.049833,1034713240.00
19800530,0.060090,0.052629,1091245530.00
19800630,0.037714,0.034438,1131657210.00
19800731,0.069438,0.067065,1210360360.00
19800829,0.023553,0.017235,1234928300.00
19800930,0.029497,0.026616,1274395060.00
19801031,0.020094,0.017369,1296357400.00
19801128,0.104952,0.099010,1424844410.00
19801231,-0.034409,-0.037040,1385308070.00
19810130,-0.040086,-0.041824,1328862340.00
19810227,0.015521,0.009123,1340832390.00
19810331,0.046184,0.043096,1399748350.00
19810430,-0.011268,-0.013037,1383922080.00
19810529,0.013550,0.007405,1398709040.00
19810630,-0.010243,-0.013357,1383914190.00
19810731,-0.003080,-0.004806,1379523790.00
19810831,-0.056279,-0.063012,1293719330.00
19810930,-0.063773,-0.066713,1206271340.00
19811030,0.060162,0.057005,1267330270.00
19811130,0.045849,0.039226,1322524250.00
19811231,-0.028096,-0.031104,1288270800.00
19820129,-0.026210,-0.027913,1250107000.00
19820226,-0.051126,-0.058639,1176227330.00
19820331,-0.010099,-0.014053,1149972630.00
19820430,0.043267,0.041422,1195309100.00
19820528,-0.028212,-0.036596,1151262980.00
19820630,-0.023912,-0.027379,1121306470.00
19820730,-0.020526,-0.022744,1086720920.00
19820831,0.119013,0.109931,1214536780.00
19820930,0.016761,0.013670,1232550400.00
19821029,0.118636,0.115930,1375897410.00
19821130,0.051934,0.044990,1445635120.00
19821231,0.014516,0.012030,1475299540.00
19830131,0.041850,0.039762,1531143940.00
19830228,0.030215,0.024204,1568234570.00
19830331,0.034680,0.031622,1628376420.00
19830429,0.074188,0.072843,1750169940.00
19830531,0.013225,0.007961,1771603690.00
19830630,0.037839,0.034867,1853897290.00
19830729,-0.031568,-0.032864,1800276110.00
19830831,0.003463,-0.001803,1803437700.00
19830930,0.016059,0.013134,1840256990.00
19831031,-0.028074,-0.029775,1790914210.00
19831130,0.029556,0.024206,1840684440.00
19831230,-0.010464,-0.013442,1829189050.00
19840131,-0.013023,-0.014873,1805600560.00
19840229,-0.039073,-0.043938,1715570250.00
19840330,0.013389,0.010024,1733949080.00
19840430,0.002534,0.000797,1734164480.00
19840531,-0.052342,-0.057727,1634802520.00
19840629,0.023385,0.019502,1652338530.00
19840731,-0.020621,-0.022542,1613265140.00
19840831,0.112689,0.106812,1783094860.00
19840928,0.000404,-0.002538,1777491150.00
19841031,-0.000074,-0.002921,1763780400.00
19841130,-0.010685,-0.015257,1728226320.00
19841231,0.023656,0.020095,1763946050.00
19850131,0.085718,0.083506,1906209580.00
19850228,0.016896,0.012267,1927681980.00
19850329,-0.001747,-0.004924,1919545040.00
19850430,-0.002186,-0.003958,1915167630.00
19850531,0.055775,0.050799,2007248550.00
19850628,0.017091,0.014038,2021113420.00
19850731,-0.000251,-0.002220,2019491730.00
19850830,-0.004795,-0.009593,2000308360.00
19850930,-0.039826,-0.042576,1907497250.00
19851031,0.044441,0.042023,1988326700.00
19851129,0.069228,0.064698,2104067960.00
19851231,0.043061,0.040080,2204318680.00
19860131,0.009829,0.008006,2217916070.00
19860228,0.072500,0.068190,2367194210.00
19860331,0.053885,0.051360,2493888970.00
19860430,-0.007903,-0.009633,2459092730.00
19860530,0.050844,0.047123,2581409220.00
19860630,0.014246,0.011624,2621874660.00
19860731,-0.059700,-0.061454,2469853940.00
19860829,0.066181,0.062428,2626831900.00
19860930,-0.079021,-0.081274,2416317870.00
19861031,0.049303,0.046859,2527541520.00
19861128,0.015093,0.010874,2556713850.00
19861231,-0.026388,-0.029057,2478157350.00
19870130,0.128496,0.126924,2798440210.00
19870227,0.047918,0.044491,2924786670.00
19870331,0.023664,0.021218,3000690570.00
19870430,-0.017001,-0.018898,2945053470.00
19870529,0.005125,0.001874,2959585150.00
19870630,0.043662,0.041150,3091237250.00
19870731,0.044248,0.042348,3223733790.00
19870831,0.037146,0.033860,3331929910.00
19870930,-0.020774,-0.022846,3268376720.00
19871030,-0.225363,-0.227344,2520570620.00
19871130,-0.072273,-0.076513,2323781200.00
19871231,0.070327,0.067214,2481980780.00
19880129,0.044880,0.043048,2582517330.00
19880229,0.051695,0.045999,2701327790.00
19880331,-0.016598,-0.019273,2642466180.00
19880429,0.010991,0.009188,2664386430.00
19880531,0.000448,-0.003859,2650144250.00
19880630,0.051459,0.048746,2765865330.00
19880729,-0.007272,-0.009940,2742821430.00
19880831,-0.028006,-0.032443,2645670200.00
19880930,0.037202,0.034603,2732933180.00
19881031,0.017646,0.014483,2769324540.00
19881130,-0.016412,-0.021131,2706932490.00
19881230,0.021075,0.017593,2717084470.00
19890131,0.066103,0.063307,2875130280.00
19890228,-0.016446,-0.020177,2814868960.00
19890331,0.021465,0.018642,2867165600.00
19890428,0.048204,0.046270,2996588280.00
19890531,0.039338,0.034584,3070561700.00
19890630,-0.004866,-0.007439,3043608450.00
19890731,0.077131,0.074884,3259811480.00
19890831,0.022127,0.018228,3319130470.00
19890929,-0.001474,-0.003970,3305515740.00
19891031,-0.029285,-0.031338,3204599820.00
19891130,0.017814,0.014331,3245922200.00
19891229,0.018295,0.015516,3305672930.00
19900131,-0.070115,-0.071949,3051808110.00
19900228,0.014901,0.010958,3087995250.00
19900330,0.024140,0.021618,3165214870.00
19900430,-0.028286,-0.030565,3070901540.00
19900531,0.088934,0.084648,3330408750.00
19900629,-0.004196,-0.006739,3308329830.00
19900731,-0.009403,-0.011604,3271591460.00
19900831,-0.091905,-0.095719,2951893620.00
19900928,-0.053843,-0.056109,2783127290.00
19901031,-0.012504,-0.015054,2739219530.00
19901130,0.065744,0.061416,2905372460.00
19901231,0.029513,0.026276,2979582530.00
19910131,0.049078,0.046982,3115064270.00
19910228,0.075847,0.071835,3338960830.00
19910328,0.028923,0.026702,3444588200.00
19910430,0.003315,0.001190,3452130500.00
19910531,0.040733,0.037173,3586959580.00
19910628,-0.044029,-0.046277,3447776450.00
19910731,0.046795,0.044990,3609514750.00
19910830,0.026817,0.023284,3698163140.00
19910930,-0.010975,-0.013074,3674720010.00
19911031,0.017815,0.016215,3742700850.00
19911129,-0.037275,-0.040557,3597829500.00
19911231,0.106778,0.104142,3997265300.00
19920131,-0.001182,-0.002610,3987564690.00
19920228,0.013354,0.010306,4034386120.00
19920331,-0.023700,-0.025971,3975481440.00
19920430,0.013419,0.011876,4018103920.00
19920529,0.006439,0.003333,4031463830.00
19920630,-0.019271,-0.021679,3978389000.00
19920731,0.039900,0.038369,4132800830.00
19920831,-0.020820,-0.023972,4036583830.00
19920930,0.012447,0.010271,4093047090.00
19921030,0.010986,0.009548,4137175460.00
19921130,0.040193,0.036963,4296086220.00
19921231,0.017768,0.015560,4396430190.00
19930129,0.012644,0.011328,4451554470.00
19930226,0.005402,0.002640,4475207560.00
19930331,0.025116,0.022685,4612158360.00
19930430,-0.025400,-0.026724,4500044390.00
19930528,0.029599,0.026565,4630766820.00
19930630,0.005440,0.003222,4702527750.00
19930730,-0.000792,-0.002140,4700731930.00
19930831,0.039479,0.036546,4885087990.00
19930930,0.000641,-0.001342,4911217610.00
19931029,0.018064,0.016743,5002318260.00
19931130,-0.017606,-0.020483,4918457490.00
19931231,0.019515,0.017488,5055729830.00
19940131,0.031466,0.030077,5217543330.00
19940228,-0.024226,-0.026779,5096183670.00
19940331,-0.045795,-0.047883,4874971790.00
19940429,0.009478,0.008027,4916295320.00
19940531,0.009360,0.006369,4962658440.00
19940630,-0.027909,-0.030083,4837094660.00
19940729,0.030633,0.029259,4984087620.00
19940831,0.042597,0.039691,5180068620.00
19940930,-0.018363,-0.020379,5088586130.00
19941031,0.014520,0.012999,5147022960.00
19941130,-0.037219,-0.039993,4941904580.00
19941230,0.012609,0.010169,5000485040.00
19950131,0.020399,0.018798,5091745470.00
19950228,0.039615,0.037040,5282589250.00
19950331,0.027041,0.024862,5430075100.00
19950428,0.025048,0.023596,5558687650.00
19950531,0.034007,0.031227,5734482850.00
19950630,0.031169,0.029240,5923054460.00
19950731,0.040779,0.038930,6150027140.00
19950831,0.009298,0.006800,6209194200.00
19950929,0.036365,0.034652,6446473110.00
19951031,-0.011314,-0.012646,6387940840.00
19951130,0.042804,0.040334,6670659990.00
19951229,0.015183,0.013344,6784930300.00
19960131,0.028138,0.026821,6965783150.00
19960229,0.016310,0.014188,7072971400.00
19960329,0.010925,0.009221,7171097030.00
19960430,0.025508,0.024263,7380813220.00
19960531,0.026802,0.024543,7603295110.00
19960628,-0.008302,-0.009834,7569285510.00
19960731,-0.053814,-0.055251,7151063640.00
19960830,0.032448,0.030377,7390812630.00
19960930,0.053035,0.051329,7787927710.00
19961031,0.013729,0.012357,7881356310.00
19961129,0.065577,0.063595,8397010430.00
19961231,-0.011397,-0.013076,8305347110.00
19970131,0.053473,0.052390,8732253490.00
19970228,-0.001122,-0.002857,8715161190.00
19970331,-0.044868,-0.046519,8328563980.00
19970430,0.042373,0.041157,8664352550.00
19970530,0.071624,0.069772,9276401230.00
19970630,0.044095,0.042703,9668399130.00
19970731,0.076514,0.075202,10409677300.00
19970829,-0.036291,-0.037650,10027962500.00
19970930,0.058499,0.057095,10643413800.00
19971031,-0.034436,-0.035506,10271866100.00
19971128,0.030404,0.028891,10586696000.00
19971231,0.017817,0.016302,10794170200.00
19980130,0.004502,0.003624,10832553600.00
19980227,0.073303,0.071798,11609181700.00
19980331,0.051301,0.050044,12270630900.00
19980430,0.010904,0.009902,12404129800.00
19980529,-0.025748,-0.027040,12109391500.00
19980630,0.031944,0.030725,12563660200.00
19980731,-0.023367,-0.024343,12280112800.00
19980831,-0.157844,-0.159153,10329305300.00
19980930,0.063827,0.062308,10989073800.00
19981030,0.074393,0.073375,11786920600.00
19981130,0.062023,0.060615,12531813100.00
19981231,0.063051,0.061723,13297313900.00
19990129,0.038456,0.037658,13750421600.00
19990226,-0.038085,-0.039271,13243810700.00
19990331,0.037932,0.036659,13752957900.00
19990430,0.049105,0.048284,14474202500.00
19990528,-0.020707,-0.022381,14220263600.00
19990630,0.050821,0.049722,14892886800.00
19990730,-0.030716,-0.031594,14464298200.00
19990831,-0.009984,-0.011143,14332449900.00
19990930,-0.022845,-0.024049,14045743800.00
19991029,0.062150,0.061360,14998451400.00
19991130,0.036824,0.035617,15653630600.00
19991231,0.083754,0.082643,17016519300.00
